State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
HARYANA,14,PANCHKULA,397.79,257.66,92.07,48.06,487.19,171.62,34.22,693.02,390.39,152.00,34.12,576.52,8760,18801,27561,58,126,68,0,0,10435,23381,33816,58,148,147,3,0,156.34,352.78,100.00,25.20,31.00,100.00,3.40,7.22,100.00,87.00,93.84,100.00,3120,0,7265,27,29.90,230,0,491,211,0,38,42651,11832
HARYANA,15,PANIPAT,1016.81,489.84,263.53,263.44,856.45,412.08,260.85,1529.38,536.23,294.21,238.50,1068.94,28000,39720,67720,64,182,216,0,0,29654,42400,72054,64,235,289,10,1,554.96,623.26,100.00,36.40,53.19,100.00,10.80,11.52,100.00,111.81,104.97,93.88,15311,0,13369,52,51.63,336,0,762,1463,14,95,114922,27729
HARYANA,16,REWARI,1156.72,763.99,272.43,120.30,1269.56,424.87,125.26,1819.69,658.58,250.19,118.63,1027.40,30000,66388,96388,50,694,0,0,0,27848,65999,93847,49,774,117,5,0,644.51,549.38,85.24,138.80,183.75,100.00,0.00,8.81,0.00,75.00,63.00,84.00,13692,0,14156,2,49.17,217,0,542,557,4,133,126261,27389
HARYANA,17,ROHTAK,751.85,479.10,168.23,104.52,805.68,284.17,57.65,1147.50,470.69,194.17,55.15,720.02,22171,79851,102022,79,156,17,0,0,25730,81201,106931,79,215,17,2,2,422.76,402.78,95.27,31.20,58.62,100.00,0.86,0.86,100,118.50,108.74,91.76,12884,0,12846,0,50.07,22,0,363,317,1,0,115506,26309
HARYANA,18,SIRSA,1009.16,650.49,218.30,140.37,1353.26,640.29,330.65,2324.20,847.02,299.54,182.40,1328.97,35400,28111,63511,50,400,354,0,0,37605,30717,68322,50,554,762,4,0,515.87,737.01,100.00,80.00,134.47,100.00,17.70,49.88,100.00,75.00,73.76,98.35,26313,0,11241,0,69.97,1201,0,677,563,0,164,178789,93970
HARYANA,19,SONIPAT,1130.43,563.34,302.50,264.60,1143.76,598.61,690.16,2432.53,446.41,182.98,91.55,720.94,29808,94725,124533,50,100,368,5,0,34536,135200,169736,50,106,449,5,4,738.89,356.02,48.18,20.00,22.10,100.00,18.40,24.88,100.00,75.00,75.00,100,12030,1,22505,0,34.84,30417,1,102,141,1,22,180286,41480
HARYANA,20,YAMUNANAGAR,2253.64,1457.36,570.70,225.58,1733.40,637.12,215.13,2585.65,1117.00,474.11,203.09,1794.20,52539,84491,137030,50,1284,611,0,0,52622,90338,142960,53,1431,840,10,0,1147.33,975.46,85.02,373.63,374.71,100.00,38.87,52.85,100.00,75.00,73.64,98.19,26640,0,25982,0,50.63,463,0,420,577,1,36,133009,26112
HIMACHAL PRADESH,1,BILASPUR,1157.15,793.98,284.38,78.79,667.62,239.14,55.21,961.97,621.98,222.42,55.71,900.10,11931,38738,50669,100,957,500,6,0,13889,40192,54081,67,899,466,0,0,248.64,247.28,99.45,296.11,234.18,79.09,33.40,23.30,69.76,200.00,137.00,68.50,3423,723,9743,0,29.85,601,195,1222,0,3,320,74661,21169
HIMACHAL PRADESH,2,CHAMBA,2367.96,1360.06,622.82,385.08,1188.99,544.48,80.01,1813.48,1162.20,346.18,80.01,1588.38,44429,31646,76075,50,1778,105,10,0,58422,41913,100335,73,1848,158,0,0,1359.33,466.70,34.33,519.51,708.15,100.00,5.26,7.73,100.00,100.00,108.18,100.00,17877,24750,15748,67,72.96,704,1002,6,0,0,15,94574,15041
HIMACHAL PRADESH,3,HAMIRPUR,1281.89,888.67,316.82,76.40,831.49,296.45,68.05,1195.99,715.30,261.17,72.13,1048.60,11593,45592,57185,60,1400,900,3,0,12188,47042,59230,52,1156,698,1,0,289.43,369.14,100.00,433.00,295.77,68.31,60.56,36.57,60.39,120.00,108.01,90.01,3729,40,8418,15,30.92,268,2,281,4,2,176,97893,28398
HIMACHAL PRADESH,4,KANGRA,4345.77,3087.38,1063.16,195.23,2463.16,849.72,8.36,3321.24,2101.39,617.74,8.40,2727.54,45000,159201,204201,116,4000,4200,4,0,61956,269640,331596,64,2862,3958,1,0,1289.79,1084.04,84.05,1362.96,974.76,71.52,375.00,68.90,18.37,232.02,71.52,30.82,14895,2664,44397,0,28.34,620,305,2460,33,2,1090,316419,70611
HIMACHAL PRADESH,5,KINNAUR,301.07,207.89,76.88,16.30,157.18,58.13,6.90,222.20,98.92,36.31,4.64,139.88,1560,13383,14943,65,350,226,1,0,1560,13263,14823,33,272,78,0,0,42.08,0.05,0.12,84.43,40.27,47.70,20.96,8.30,39.60,62.50,46.14,73.82,798,762,0,0,100.00,0,0,0,0,0,0,19535,7582
